0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,salida
1904,15,2904,89,1,0,1206,413,107,5,2,1,7,0,167,59,0,0,1,0,0,0,1,0,8,1,0,0,8,0,24,9,3111,8,2747,25,0,0,301,62,2,0,0,0,0,0,2,1,1081,18,308,7,0,0,193,62,142,5,3,0,25,0,81,27,16,2,12,2,0,0,22,3,8,0,0,0,3,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,127,1,26,22,0,0,10,12,1,0,0,1,0,0,0,1,336,7,66,20,1,0,43,104,80,5,0,2,18,1,21,42,492,316,7,1202,18,14,21,790,67,17,0,7,36,41,10,367,9,3,0,14,4,0,0,17,32,11,0,15,60,72,1,428,7,4,6,4,0,0,1,15,1,0,0,0,0,0,0,0,12,12,4,2,0,0,2,25,6,5,1,0,0,1,0,11,289,930,4,2775,6,10,16,409,19,19,0,3,14,30,4,187,9,6,0,17,1,1,0,14,49,23,0,16,95,1200,0,3947,887,2908,14,3527,8,8,3,242,7,1,0,2,22,18,0,25,766,498,15,274,7,13,18,394,365,146,1,36,663,3702,10,4312,Glacier
3581,10,2998,189,7,1,403,219,246,6,11,2,160,1,172,112,10,0,1,2,0,0,0,6,195,3,1,2,1062,2,861,199,3128,3,3139,143,3,0,206,74,12,0,3,0,3,1,3,4,383,4,183,7,0,0,125,64,183,2,4,0,887,2,1240,183,15,0,8,0,0,0,8,9,8,2,1,0,2,0,3,5,2,0,0,0,0,0,0,1,2,0,2,0,1,2,2,3,194,1,147,109,1,0,7,33,1,0,1,2,1,0,0,3,238,9,67,21,2,0,45,124,129,2,6,3,84,2,156,162,350,280,2,395,10,10,12,367,83,27,1,11,37,92,6,262,13,2,0,8,4,1,0,10,58,10,0,8,107,147,1,439,5,4,2,4,1,0,1,12,0,0,0,0,2,1,0,2,14,6,1,1,0,0,8,13,5,4,0,0,0,0,1,9,244,1277,6,1496,4,5,8,313,33,64,1,1,11,143,6,182,9,4,1,4,7,1,0,6,72,117,0,6,120,2321,2,2868,384,2036,4,2237,6,4,1,305,15,1,0,1,13,10,0,18,307,300,11,288,15,12,17,393,267,111,0,12,290,3250,8,4894,Glacier
2331,0,5437,0,0,0,51,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4631,0,3760,0,0,0,30,2,0,0,1,0,0,0,0,0,80,0,46,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,1,7,0,0,0,0,0,0,0,0,3,32,0,49,0,0,0,17,0,0,0,0,0,1,0,12,0,0,0,0,1,0,0,1,3,0,0,0,8,49,0,92,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2397,0,5604,0,0,0,74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,0,0,62,2322,0,5580,95,4436,1,3503,0,0,0,73,0,0,0,0,0,0,0,0,19,137,1,82,1,0,0,34,19,1,0,0,149,4526,0,3596,Glacier
1531,12,2671,247,21,1,740,372,150,6,10,6,51,7,336,455,24,0,20,7,2,0,2,3,72,3,7,12,118,10,189,267,2653,34,3172,84,6,1,340,79,9,0,1,2,10,2,26,14,656,13,263,5,3,0,74,21,318,8,53,4,295,23,739,160,28,2,27,6,0,0,4,6,9,1,3,0,3,1,2,5,1,0,0,1,0,0,0,0,11,1,1,0,12,1,22,6,294,14,125,41,8,0,9,19,1,0,1,0,4,0,6,3,264,7,115,20,0,0,38,48,306,5,27,11,213,7,159,156,194,136,9,654,10,11,3,567,88,26,0,20,32,39,17,960,15,1,0,19,3,2,1,7,44,7,0,28,96,128,6,1054,6,17,1,34,0,0,0,10,2,0,0,0,0,3,1,20,8,4,1,7,0,0,2,2,22,8,0,1,2,20,8,93,96,727,32,1765,3,9,4,901,42,56,0,8,11,29,14,502,8,9,2,25,1,1,1,11,45,43,3,26,81,579,14,2665,566,1784,33,2668,20,8,2,426,19,10,0,2,22,14,4,110,330,666,9,411,13,22,7,252,696,379,36,73,726,2688,85,6783,Glacier
2712,180,3307,286,83,0,321,582,252,15,57,50,147,3,197,521,125,0,35,14,25,0,13,12,212,0,40,19,872,2,1658,1083,3423,23,1740,111,65,0,133,124,33,0,27,15,16,0,41,88,394,17,107,25,14,0,48,50,205,4,26,9,1293,1,869,363,61,35,20,10,0,0,36,92,7,7,0,0,1,1,2,8,1,0,0,0,0,0,0,0,5,0,0,0,1,2,2,3,458,16,135,51,28,0,42,88,13,0,12,5,19,0,26,53,556,30,120,35,44,0,66,148,269,3,31,21,1106,4,342,688,166,216,15,112,1,0,9,233,441,68,0,1,130,142,9,929,0,0,0,0,2,0,0,1,155,1,1,0,298,126,7,728,54,35,8,18,0,0,1,15,1,0,1,0,0,0,0,0,32,45,4,9,1,0,3,29,4,1,0,0,8,4,1,23,135,433,18,229,0,3,24,562,66,283,0,0,3,144,6,924,0,2,0,1,0,0,0,4,134,172,0,1,127,582,4,2359,218,262,24,153,0,2,8,226,3,3,1,0,2,1,0,10,480,921,32,206,0,0,53,820,904,1124,0,9,966,2176,23,3873,Glacier
3190,16,3478,17,1,0,701,107,15,1,4,0,1,0,18,5,1,0,2,1,0,0,2,0,1,0,0,0,1,0,3,4,2247,13,3999,15,0,0,354,36,9,0,1,0,0,0,8,0,494,27,286,17,0,0,235,54,16,0,8,1,6,0,36,0,12,1,8,0,0,0,34,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,4,19,4,0,0,14,1,0,0,0,0,0,0,0,0,104,3,47,2,0,0,59,38,2,0,0,0,1,0,4,4,522,423,6,578,7,4,7,358,39,7,0,6,21,48,0,111,19,5,0,11,6,1,0,11,42,11,0,21,175,348,0,384,7,11,3,5,0,0,5,6,0,0,0,0,0,0,0,0,16,20,3,6,0,0,7,18,0,1,0,0,0,1,0,0,343,2274,8,2941,4,5,9,356,12,2,0,2,9,23,1,42,11,7,0,7,3,3,0,5,43,34,0,21,263,2254,1,2922,562,2200,7,4470,15,10,10,566,5,5,0,1,18,7,0,22,365,368,8,486,14,9,31,427,105,47,0,22,244,2949,0,5632,Glacier
2365,8,4507,37,2,0,582,61,69,4,0,3,20,2,40,101,3,0,1,2,0,0,0,0,9,0,1,1,6,1,10,9,4616,1,2960,6,1,0,227,4,3,0,0,0,0,0,0,3,359,2,133,0,0,0,107,2,52,1,0,0,37,1,29,21,3,1,0,0,0,0,4,1,2,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,82,0,5,10,1,0,6,11,4,0,1,2,3,0,0,5,61,1,11,7,1,0,13,17,133,4,1,3,47,1,20,63,165,157,4,481,2,0,0,112,18,4,1,3,3,17,2,60,7,1,0,1,1,0,0,3,11,2,0,3,4,12,0,98,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,1,2,1,0,0,3,4,3,4,0,0,1,4,0,6,159,1781,0,4671,0,1,1,34,6,3,0,0,3,7,1,21,4,0,0,0,3,1,0,1,15,22,0,2,16,2161,1,4647,330,4723,0,3297,0,0,1,33,1,0,0,0,1,1,0,3,82,30,2,29,6,2,12,59,80,88,1,5,62,4558,5,4435,Glacier
2794,76,908,122,31,0,660,867,704,64,7,23,63,4,160,699,35,0,1,17,3,0,1,14,55,1,2,10,29,3,9,125,1712,13,876,28,3,0,205,147,6,0,0,1,4,0,1,16,636,30,204,16,3,0,173,152,107,19,3,3,15,3,65,117,55,11,13,5,0,0,37,56,26,8,0,0,3,2,21,34,2,0,0,0,0,0,0,0,4,1,0,0,1,0,2,6,148,3,27,35,13,0,21,68,16,1,0,8,11,0,1,33,735,30,159,77,24,0,186,488,409,24,7,21,144,7,105,680,1571,404,17,574,53,27,36,1198,1415,137,9,71,208,128,40,2252,93,5,1,29,24,7,1,27,214,24,0,38,132,109,2,689,18,9,7,6,1,0,9,17,2,1,0,0,1,1,0,2,71,19,7,9,2,0,25,55,45,27,0,1,5,6,4,74,334,597,4,548,12,4,26,414,151,48,0,7,16,23,20,327,34,15,0,8,7,7,0,16,124,31,2,14,101,663,5,1222,633,1430,10,1127,39,6,7,425,49,6,0,17,41,23,0,145,1609,516,28,454,67,30,98,1562,2244,379,3,114,651,1745,76,5327,Glacier
3398,55,2793,40,14,3,952,341,119,8,13,4,13,3,28,63,7,0,3,2,7,0,1,3,13,0,3,6,13,1,10,37,2621,13,1947,23,1,1,430,148,5,0,3,1,1,0,3,2,778,34,384,16,0,0,439,149,28,3,2,0,6,1,17,20,42,3,15,1,0,0,36,12,4,0,0,0,0,0,4,5,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,3,37,3,18,3,4,0,13,22,3,0,1,3,3,0,1,6,255,12,124,15,5,0,167,128,12,1,3,2,26,1,13,76,1221,617,19,823,27,32,34,590,155,42,2,21,91,111,4,332,43,7,1,8,16,9,0,21,76,24,1,27,97,229,1,442,17,10,1,3,0,0,12,20,0,2,0,0,0,2,1,1,42,10,12,8,0,1,38,49,3,3,0,0,2,1,3,13,481,1341,6,2645,7,8,14,400,28,12,1,3,26,39,4,121,28,8,0,6,12,16,0,19,80,36,0,17,191,1819,3,3708,735,2597,1,2661,16,9,10,551,14,6,0,2,18,24,0,61,564,310,18,535,12,26,49,625,278,68,0,37,337,3377,3,3895,Glacier
2166,0,4733,16,1,0,284,82,33,1,15,1,9,0,79,11,2,0,7,0,0,0,1,1,20,0,2,0,12,0,8,3,2840,3,3882,7,0,0,204,42,20,0,7,0,5,0,93,4,314,0,266,1,0,0,150,27,151,1,22,0,33,80,314,20,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5,6,21,1,0,8,0,1,0,0,0,0,0,75,2,144,1,60,4,0,0,85,29,5,1,0,2,2,0,6,9,186,150,7,324,1,0,3,127,57,4,4,4,14,27,2,97,0,0,0,0,0,1,1,0,14,5,0,0,4,73,0,101,21,8,1,2,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,25,0,0,0,1,4,1,85,176,1686,4,4295,0,0,2,81,2,0,4,0,1,5,1,11,1,1,0,79,0,2,0,2,81,6,0,5,38,1972,0,3868,483,3294,19,4686,1,1,71,124,32,0,0,2,1,0,0,3,151,59,0,143,1,0,1,84,159,16,0,12,62,5081,4,4788,Glacier
2705,32,1771,800,78,3,450,664,1219,42,29,38,437,39,840,841,76,0,24,65,11,0,11,23,412,15,19,36,813,23,1252,543,2166,20,1162,243,25,1,95,143,29,1,9,10,15,0,33,30,430,22,90,25,2,0,83,68,738,47,32,17,1353,25,1510,538,25,4,16,2,1,0,25,10,73,19,0,0,16,12,48,26,1,0,0,0,0,0,0,0,36,11,0,0,31,11,25,30,715,4,219,237,62,0,27,124,40,0,11,29,44,0,15,48,544,11,138,129,24,1,75,278,819,49,22,81,556,23,532,915,480,115,18,455,43,17,19,355,304,102,1,22,63,110,41,633,37,5,0,60,6,2,0,26,66,44,0,48,53,83,11,420,17,13,0,22,0,0,4,10,1,0,0,0,0,1,0,7,12,16,2,9,0,0,5,22,36,60,0,2,20,45,12,113,117,91,9,211,6,9,26,231,89,128,0,8,40,185,76,685,8,12,0,22,4,0,0,13,95,167,2,17,76,946,42,2303,379,392,16,345,48,18,6,182,32,11,0,19,53,24,1,90,285,247,10,167,15,13,17,293,516,628,4,86,450,2413,116,4384,Forest
1766,3,3123,738,12,0,445,381,698,6,8,5,133,12,722,311,8,0,0,10,0,0,3,9,124,2,3,2,145,15,1667,135,2721,1,3957,173,1,1,47,37,2,0,1,1,2,0,2,5,322,0,47,8,2,0,236,67,683,2,6,4,1085,6,2703,192,0,0,1,1,0,0,2,1,2,1,0,0,6,1,3,8,0,0,0,0,0,0,0,1,10,0,0,1,12,14,11,12,598,2,122,345,10,0,2,77,8,0,3,6,5,0,1,11,161,1,26,86,2,0,64,106,187,8,5,13,69,30,143,177,461,88,9,466,8,3,1,250,30,17,0,11,21,80,4,364,3,0,0,5,0,0,0,7,23,12,0,4,23,100,2,235,3,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,8,3,0,0,2,13,0,27,41,342,0,1381,0,1,0,99,18,10,0,2,16,71,9,222,1,1,0,3,0,0,0,0,73,63,1,0,93,1133,19,4482,372,1536,2,2577,15,4,0,83,15,0,0,9,4,0,2,30,65,48,0,89,4,0,0,88,106,137,0,22,113,3032,17,5594,Forest
3555,0,4256,275,0,0,21,107,119,1,0,0,204,4,154,92,5,0,1,0,0,0,0,1,197,2,0,0,2098,79,2184,503,3763,1,3246,238,2,0,19,133,1,0,1,0,0,0,1,0,61,0,54,1,0,0,3,6,271,4,5,1,2521,84,1604,344,0,0,0,0,0,0,0,0,2,2,0,0,2,1,9,1,0,0,0,0,0,0,0,0,9,2,0,0,49,26,88,43,275,2,122,46,2,0,0,13,1,0,1,1,1,0,0,1,132,2,98,11,2,0,8,26,52,1,1,2,364,30,329,196,46,63,0,50,1,1,0,4,31,27,0,1,17,33,4,21,4,2,0,3,0,3,0,0,13,7,0,1,106,124,17,236,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,4,0,0,37,83,24,83,42,863,0,1033,4,84,0,277,31,197,0,41,10,295,9,570,1,76,0,95,0,21,0,45,32,258,0,96,97,1795,109,3050,51,582,0,458,2,106,0,151,5,27,0,27,3,118,0,84,12,152,0,92,2,49,0,133,43,345,0,86,193,2937,97,5225,Forest
